OrderID,OrderDate,CustomerName,Country,Category,Sub-Category,ProductName,Quantity,UnitPrice,Discount,ShippingCost,Profit
ORD100000,2025-01-25,Richard Berry,India,Clothing,Shirts,Shirts In,6,709.23,0.11,34.29,668.82
ORD100001,2025-05-12,Brenda Miller,USA,Home,Kitchen,Kitchen Land,2,147.91,0.01,15.7,63.16
ORD100002,2025-06-11,Kristen Fleming,Canada,Electronics,Accessories,Accessories Threat,7,293.61,0.04,9.44,158.98
ORD100003,2024-11-06,Aaron Watson,France,Clothing,Shoes,Shoes Mission,1,949.97,0.15,48.8,200.01
ORD100004,2024-01-18,Jason Holden,USA,Home,Kitchen,Kitchen Simply,3,586.07,0.11,45.97,301.94
ORD100005,2024-08-16,Anthony Sanford,USA,Home,Kitchen,Kitchen Or,6,905.91,0.1,23.11,605.37
ORD100006,2024-04-22,Casey Williams,USA,Electronics,Phones,Phones Make,7,65.5,0.09,26.28,79.3
ORD100007,2025-02-08,Amanda Villa,Germany,Clothing,Shirts,Shirts Face,6,157.79,0.27,36.03,198.17
ORD100008,2025-03-24,Tabitha Stanley,India,Home,Kitchen,Kitchen Director,2,169.87,0.17,13.81,15.67
ORD100009,2025-04-26,William Owen,India,Home,Furniture,Furniture Rest,4,653.74,0.2,44.67,621.59
ORD100010,2024-06-22,Craig Le,UK,Electronics,Accessories,Accessories Class,8,794.86,0.09,26.13,1054.06
ORD100011,2024-12-15,Alan Ellis,UK,Home,Kitchen,Kitchen Data,5,657.54,0.25,27.92,216.66
ORD100012,2023-09-10,Brad Jones,Australia,Home,Decor,Decor Wish,8,841.08,0.27,13.87,887.74
ORD100013,2023-12-23,Elizabeth Lee,USA,Clothing,Jackets,Jackets Side,8,239.37,0.15,45.42,336.94
ORD100014,2024-07-16,John Stewart,India,Electronics,Accessories,Accessories Point,10,879.86,0.05,9.99,1998.74
ORD100015,2024-03-15,Samuel Hebert,Canada,Home,Furniture,Furniture Child,8,245.35,0.06,40.34,226.16
ORD100016,2024-04-06,Eric Jensen,Germany,Clothing,Shoes,Shoes Science,2,983.27,0.21,38.95,327.27
